TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-25 22:38:23.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-5257
2022-11-25 22:38:23.495,0.0,0.43715978,0.8722899,0.0,0.0,0.09872859,0.14339145,0.0,0.0,0.3144216,0.4411157,0.0,0.0,-0.112877645,-0.09557243,0.0,0.0,-0.647392,-0.61732614,0.0,1286.9597,854.61536,853.8095,1218.0586,1512.1978,-0.46832275390625,-0.06024169921875,0.87127685546875,-2.40753173828125,2.3626708984375,0.777587890625,1,4.0,1.0,1.0,4.0,70.52
2022-11-25 22:38:23.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-25 22:38:23.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-25 22:38:24.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-25 22:38:24.503,0.0,0.7151113,0.40532735,0.0,0.0,0.4477764,0.20141838,0.0,0.0,0.22965996,0.25363487,0.0,0.0,-0.26377344,-0.183866,0.0,0.0,-0.80747235,-0.688738,0.0,1193.4799,859.45056,850.58606,1498.9011,1284.1392,-0.4764404296875,0.0125732421875,0.8544921875,11.446990966796875,5.899200439453125,14.108734130859375,1,2.0,1.0,1.0,4.0,70.52
2022-11-25 22:38:24.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-25 22:38:24.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-25 22:38:24.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-25 22:38:24.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-25 22:38:25.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
