TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-07 23:10:47.363,0.672138,0.0,0.6229882,0.0,0.45839602,0.0,0.3177349,0.0,0.7461693,0.0,0.54567707,0.0,0.55859315,0.0,0.38349822,0.0,0.3277463,0.0,0.09603952,0.0,682.5641,499.6337,800.2198,161.97803,531.06226,-0.69586181640625,0.26513671875,0.668701171875,-2.564544677734375,1.92901611328125,0.3887939453125,1,1.0,1.0,1.0,1.0,41.45
2022-04-07 23:10:48.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-07 23:10:48.380,0.6009608,0.0,0.76258564,0.0,0.34137395,0.0,0.32910916,0.0,0.73584884,0.0,0.5780008,0.0,0.4605059,0.0,0.33882928,0.0,0.35722917,0.0,-0.1162515,0.0,641.4652,486.337,807.0696,171.64835,586.26373,-0.69744873046875,0.26593017578125,0.66864013671875,-2.459869384765625,2.1832275390625,0.43365478515625,1,1.0,1.0,1.0,1.0,41.45
2022-04-07 23:10:49.417,0.9288984,0.0,0.8999526,0.0,0.4399822,0.0,0.2895488,0.0,0.73239434,0.0,0.58264667,0.0,0.49163556,0.0,0.21080819,0.0,0.44308925,0.0,0.03431577,0.0,880.40295,933.1868,871.13556,846.9597,593.91943,-0.69976806640625,0.268798828125,0.66937255859375,-2.28790283203125,1.816864013671875,1.143951416015625,1,1.0,1.0,1.0,1.0,41.50
2022-04-07 23:10:50.434,1.222638,0.0,1.0704386,0.0,0.666945,0.0,0.5951972,0.0,0.73239434,0.0,0.8841139,0.0,0.5888698,0.0,0.21116391,0.0,0.5364953,0.0,-0.037440088,0.0,867.1062,759.12085,838.9011,1067.7656,1012.1612,-0.69915771484375,0.26434326171875,0.66961669921875,-2.70660400390625,2.280426025390625,0.171966552734375,1,1.0,1.0,1.0,1.0,41.50
2022-04-07 23:10:50.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-07 23:10:51.458,0.39267915,0.0,1.1731113,0.0,0.37931854,0.0,0.6044552,0.0,0.63186747,0.0,0.6955104,0.0,0.58060074,0.0,0.2177161,0.0,0.06223444,0.0,-0.02708385,0.0,838.9011,802.6374,861.06226,984.35895,995.64105,-0.69683837890625,0.2626953125,0.667236328125,-3.013153076171875,2.55706787109375,0.545806884765625,1,1.0,1.0,1.0,1.0,41.50
2022-04-07 23:10:52.470,0.39267915,0.0,0.9506506,0.0,0.37931854,0.0,0.83797836,0.0,0.63186747,0.0,0.7317899,0.0,0.58060074,0.0,0.21927042,0.0,0.06223444,0.0,-0.15058257,0.0,806.26373,801.4286,843.3333,883.6264,967.8388,-0.697998046875,0.26031494140625,0.6668701171875,-2.6318359375,2.130889892578125,0.186920166015625,1,1.0,1.0,1.0,1.0,41.50
2022-04-07 23:10:52.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-04-07 23:10:53.474,0.39267915,0.0,0.8570918,0.0,0.37931854,0.0,0.7304327,0.0,0.63186747,0.0,0.93443054,0.0,0.58060074,0.0,0.19014642,0.0,0.06223444,0.0,-0.29646713,0.0,854.21246,784.90845,859.45056,943.663,762.3443,-0.6982421875,0.25311279296875,0.66497802734375,-3.267364501953125,4.239349365234375,-1.2860107421875,1,1.0,1.0,1.0,1.0,41.50
