TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-03 18:08:09.477,0.56259,0.9012675,0.877298,0.91828644,0.15587778,0.16243431,0.33796477,0.39176118,0.5150179,-0.044253618,0.23295435,0.7146935,0.44163233,0.12802047,0.16504936,0.46900022,0.5188744,-0.15925284,-0.13021776,0.4106444,836.4835,857.4359,842.52747,841.7216,720.0366,-0.00689697265625,0.1767578125,0.98309326171875,-1.92901611328125,1.308441162109375,0.426177978515625,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:10.498,0.56259,1.0223812,0.8546524,0.6694252,0.15587778,0.39376912,0.21021327,0.42439067,0.5150179,0.3702651,0.052423622,0.6775604,0.44163233,-0.014464859,-0.07596087,0.5074421,0.5188744,-0.109403916,-0.043353815,0.28312427,866.7033,850.989,845.7509,922.71063,1056.8865,-0.02130126953125,0.1710205078125,0.98138427734375,-1.8243408203125,3.3197021484375,2.093505859375,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:11.529,0.56259,1.1022215,0.9405364,0.7831316,0.15587778,0.48097983,0.2900075,0.528888,0.5150179,0.35635895,-0.014038148,0.6313695,0.44163233,0.01530063,0.30064157,0.46543127,0.5188744,-0.115931205,0.29047903,0.4328584,871.9414,846.1539,851.39197,908.20514,1077.8389,-0.03204345703125,0.18316650390625,0.98223876953125,-1.9140625,1.495361328125,0.85235595703125,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:11.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:12.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:12.553,-0.07825711,0.4104187,0.35113567,-0.19118057,-0.009912593,0.14668378,-0.0033169577,-0.097407945,0.7692186,-0.15544268,0.11356288,0.39366496,0.3288952,0.08964226,0.43416137,0.34486026,0.13681865,-0.20236982,0.22649439,0.48701543,858.6447,855.0183,844.94507,892.0879,949.304,-0.0660400390625,0.15478515625,0.98773193359375,-0.9869384765625,-5.495452880859375,5.084228515625,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:13.571,-0.08285478,0.65291405,0.6022525,0.74900085,-0.2906987,0.37656844,0.23522688,0.85450184,0.54316175,-0.18192714,0.109125786,0.80215496,0.30026892,0.22302136,0.2505118,0.4561161,0.028449543,0.1514149,0.07821085,0.45548558,868.315,846.9597,843.73627,860.2564,857.4359,-0.0567626953125,0.16400146484375,0.99444580078125,-3.222503662109375,6.063690185546875,-4.29168701171875,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:14.574,-0.08285478,0.19812639,0.4405139,1.2108785,-0.2906987,0.13708866,-0.06135975,0.9554948,0.54316175,0.35211143,0.16304645,0.99560905,0.30026892,0.3841888,0.10843822,0.8240289,0.028449543,0.42163473,0.20596968,0.5731612,846.9597,869.5238,865.89746,938.4249,780.07324,-0.23419189453125,0.14923095703125,0.9718017578125,-3.3795166015625,15.394744873046875,-3.790740966796875,1,1.0,1.0,1.0,1.0,67.16
2022-04-03 18:08:15.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:15.597,-0.08285478,0.44740433,0.7200133,1.4485238,-0.2906987,0.17162544,0.4063635,0.9361079,0.54316175,0.33820614,0.38595903,0.9845682,0.30026892,0.66333497,0.55377805,0.94557256,0.028449543,0.5806416,0.7324143,0.7030691,952.1245,853.00366,879.59705,870.32965,542.74725,-0.4310302734375,0.10113525390625,0.8525390625,-0.49346923828125,6.781463623046875,1.95892333984375,1,1.0,1.0,1.0,1.0,67.11
